features,importance
teacher_acctid_at_least_1_teacher_referred_donor_cumrate,0.08
school_county_at_least_1_teacher_referred_donor_cumrate,0.07
teacher_acctid_at_least_1_teacher_referred_donor_cumcredrate,0.07
school_county_donation_from_thoughtful_donor_cumrate,0.06
teacher_acctid_great_chat_cumcredrate,0.06
teacher_acctid_great_chat_cumrate,0.04
teacher_acctid_at_least_1_teacher_referred_donor_cumcredrate_cap,0.04
schoolid_is_exciting_cumcredrate_cap,0.04
school_district_great_chat_cumrate,0.03
schoolid_at_least_1_green_donation_cumrate,0.03
schoolid_gapdays.1,0.03
teacher_acctid_gapdays.1,0.02
school_county_at_least_1_green_donation_cumcredrate,0.02
teacher_acctid_is_teacher_acct_cumrate,0.02
schoolid_great_chat_cumrate,0.02
schoolid_is_exciting_cumcredrate,0.02
schoolid_great_chat_cumcredrate,0.02
schoolid_great_chat_cumcredrate_cap,0.02
school_county_great_chat_cumcredrate,0.02
schoolid_gapdays,0.02
schoolid_at_least_1_green_donation_cumcredrate,0.02
school_district_at_least_1_green_donation_cumcredrate,0.02
school_county_is_exciting_cumrate,0.02
school_district_great_chat_cumcredrate,0.02
teacher_acctid_at_least_1_green_donation_cumcredrate,0.02
school_district_is_exciting_cumcredrate_cap,0.01
school_district_is_exciting_cumcredrate,0.01
school_county_donation_from_thoughtful_donor_cumcnt,0.01
school_county_is_exciting_cumcredrate_cap,0.01
school_county_great_chat_cumrate,0.01
schoolid_three_or_more_non_teacher_referred_donors_cumcredrate,0.01
school_county_cumcnt,0.01
school_district_three_or_more_non_teacher_referred_donors_cumrate,0.01
school_district_three_or_more_non_teacher_referred_donors_cumcredrate,0.01
school_district_at_least_1_green_donation_cumcnt,0.01
school_county_one_non_teacher_referred_donor_giving_100_plus_cumcnt,0.01
teacher_acctid_at_least_1_green_donation_cumrate,0.01
teacher_acctid_donation_total_cumcredrate,0.01
schoolid_at_least_1_teacher_referred_donor_cumcredrate,0.01
schoolid_at_least_1_teacher_referred_donor_cumrate,0.01
teacher_acctid_is_teacher_acct_cumcredrate,0.01
schoolid_is_exciting_cumrate,0.01
teacher_acctid_is_teacher_acct_cumcnt,0.0
schoolid_is_teacher_acct_cumrate,0.0
school_county_at_least_1_teacher_referred_donor_cumcnt,0.0
teacher_acctid_fully_funded_cumrate,0.0
school_county_at_least_1_teacher_referred_donor_cumcredrate_cap,0.0
school_county_at_least_1_teacher_referred_donor_cumcredrate,0.0
schoolid_is_teacher_acct_cumcredrate,0.0
school_county_fully_funded_cumcnt,0.0
school_county_fully_funded_cumrate,0.0
school_county_fully_funded_cumcredrate,0.0
school_county_is_exciting_cumcredrate,0.0
schoolid_donation_total_cumcnt,0.0
schoolid_is_teacher_acct_cumcredrate_cap,0.0
school_county_is_exciting_cumcnt,0.0
schoolid_is_teacher_acct_cumcnt,0.0
schoolid_donation_total_cumrate,0.0
school_district_gapdays,0.0
school_district_donation_from_thoughtful_donor_cumcredrate_cap,0.0
schoolid_donation_total_cumcredrate,0.0
schoolid_donation_total_cumcredrate_cap,0.0
school_district_donation_from_thoughtful_donor_cumcredrate,0.0
school_district_donation_from_thoughtful_donor_cumrate,0.0
school_county_fully_funded_cumcredrate_cap,0.0
teacher_acctid_donation_total_cumcredrate_cap,0.0
schoolid_cumcnt.1,0.0
school_county_three_or_more_non_teacher_referred_donors_cumcredrate_cap,0.0
school_county_gapdays,0.0
school_county_donation_from_thoughtful_donor_cumcredrate_cap,0.0
school_county_donation_from_thoughtful_donor_cumcredrate,0.0
teacher_acctid_fully_funded_cumcnt,0.0
school_county_one_non_teacher_referred_donor_giving_100_plus_cumcredrate_cap,0.0
school_county_one_non_teacher_referred_donor_giving_100_plus_cumcredrate,0.0
school_county_one_non_teacher_referred_donor_giving_100_plus_cumrate,0.0
school_district_one_non_teacher_referred_donor_giving_100_plus_cumcredrate_cap,0.0
teacher_acctid_is_teacher_acct_cumcredrate_cap,0.0
school_county_three_or_more_non_teacher_referred_donors_cumcredrate,0.0
school_county_at_least_1_green_donation_cumcnt,0.0
school_county_three_or_more_non_teacher_referred_donors_cumrate,0.0
school_county_three_or_more_non_teacher_referred_donors_cumcnt,0.0
school_county_great_chat_cumcredrate_cap,0.0
teacher_acctid_donation_total_cumcnt,0.0
teacher_acctid_donation_total_cumrate,0.0
school_county_great_chat_cumcnt,0.0
school_county_at_least_1_green_donation_cumcredrate_cap,0.0
teacher_acctid_cumcnt.1,0.0
school_county_at_least_1_green_donation_cumrate,0.0
school_district_donation_from_thoughtful_donor_cumcnt,0.0
teacher_acctid_great_chat_cumcnt,0.0
school_district_one_non_teacher_referred_donor_giving_100_plus_cumcredrate,0.0
school_district_one_non_teacher_referred_donor_giving_100_plus_cumrate,0.0
schoolid_three_or_more_non_teacher_referred_donors_cumcnt,0.0
schoolid_great_chat_cumcnt,0.0
schoolid_at_least_1_green_donation_cumcredrate_cap,0.0
teacher_acctid_at_least_1_green_donation_cumcnt,0.0
schoolid_at_least_1_green_donation_cumcnt,0.0
schoolid_fully_funded_cumcredrate_cap,0.0
schoolid_fully_funded_cumcredrate,0.0
schoolid_fully_funded_cumrate,0.0
schoolid_fully_funded_cumcnt,0.0
schoolid_at_least_1_teacher_referred_donor_cumcredrate_cap,0.0
schoolid_at_least_1_teacher_referred_donor_cumcnt,0.0
schoolid_is_exciting_cumcnt,0.0
schoolid_cumcnt,0.0
teacher_acctid_gapdays,0.0
teacher_acctid_donation_from_thoughtful_donor_cumcredrate_cap,0.0
teacher_acctid_donation_from_thoughtful_donor_cumcredrate,0.0
teacher_acctid_donation_from_thoughtful_donor_cumrate,0.0
teacher_acctid_donation_from_thoughtful_donor_cumcnt,0.0
teacher_acctid_one_non_teacher_referred_donor_giving_100_plus_cumcredrate_cap,0.0
teacher_acctid_one_non_teacher_referred_donor_giving_100_plus_cumcredrate,0.0
teacher_acctid_one_non_teacher_referred_donor_giving_100_plus_cumrate,0.0
teacher_acctid_one_non_teacher_referred_donor_giving_100_plus_cumcnt,0.0
teacher_acctid_three_or_more_non_teacher_referred_donors_cumcredrate_cap,0.0
teacher_acctid_three_or_more_non_teacher_referred_donors_cumcredrate,0.0
teacher_acctid_three_or_more_non_teacher_referred_donors_cumrate,0.0
teacher_acctid_three_or_more_non_teacher_referred_donors_cumcnt,0.0
teacher_acctid_great_chat_cumcredrate_cap,0.0
schoolid_three_or_more_non_teacher_referred_donors_cumrate,0.0
schoolid_three_or_more_non_teacher_referred_donors_cumcredrate_cap,0.0
schoolid_one_non_teacher_referred_donor_giving_100_plus_cumcnt,0.0
school_district_fully_funded_cumcnt,0.0
school_district_one_non_teacher_referred_donor_giving_100_plus_cumcnt,0.0
school_district_three_or_more_non_teacher_referred_donors_cumcredrate_cap,0.0
school_district_three_or_more_non_teacher_referred_donors_cumcnt,0.0
school_district_great_chat_cumcredrate_cap,0.0
teacher_acctid_at_least_1_green_donation_cumcredrate_cap,0.0
school_district_great_chat_cumcnt,0.0
school_district_at_least_1_green_donation_cumcredrate_cap,0.0
school_district_at_least_1_green_donation_cumrate,0.0
teacher_acctid_fully_funded_cumcredrate_cap,0.0
school_district_fully_funded_cumcredrate_cap,0.0
school_district_fully_funded_cumcredrate,0.0
school_district_fully_funded_cumrate,0.0
school_district_at_least_1_teacher_referred_donor_cumcredrate_cap,0.0
schoolid_one_non_teacher_referred_donor_giving_100_plus_cumrate,0.0
school_district_at_least_1_teacher_referred_donor_cumcredrate,0.0
school_district_at_least_1_teacher_referred_donor_cumrate,0.0
school_district_at_least_1_teacher_referred_donor_cumcnt,0.0
school_district_is_exciting_cumrate,0.0
school_district_is_exciting_cumcnt,0.0
school_district_cumcnt,0.0
schoolid_donation_from_thoughtful_donor_cumcredrate_cap,0.0
