features,importance
secondary_subj_resource_type_is_adj_rate,0.16141726883296265
schoolid_is_exciting_cumcredrate_cap,0.07150914198600256
teacher_acctid_at_least_1_teacher_referred_donor_cumrate,0.0693174652029915
teacher_acctid_is_exciting_adj_rate,0.05891128895307938
teach_in_america,0.05763188842487464
schoolid_is_exciting_adj_rate,0.05537319340706375
schoolid_at_least_1_teacher_referred_donor_cumrate,0.0523433874564428
schoolid_at_least_1_green_donation_cumrate,0.05135265836090305
schoolid_great_chat_cumrate,0.04220643132714743
essay_new_pred,0.03971379754250165
teacher_acctid_great_chat_cumrate,0.03523803597766491
teacher_acctid_is_exciting_cumcredrate,0.032257550556071
school_state_is_exciting_adj_rate,0.018805552951969763
school_district_is_exciting_cumrate,0.017274405229564836
teacher_acctid_gapdays,0.016540889201106673
school_county_is_exciting_cumrate,0.012523295302308137
teacher_acctid_fully_funded_cumrate,0.010794830046612539
eligible_double_impact,0.0094509837145639
schoolid_fully_funded_cumrate,0.009057913134630155
eligible_almost_home,0.008103894525514695
title_new_pred,0.007983057425182178
teacher_gender,0.00785974072849679
metro,0.007803159478941976
cnt_monthly_by_schoolid,0.007258566575813825
cnt_weekly_by_schoolid,0.006462382903290097
main_resource_type,0.006388412426274807
school_district_fully_funded_cumrate,0.00631943199937982
school_latitude,0.00616749473457194
essay_length,0.006151169863044427
cnt_biweekly_by_schoolid,0.0055490287298014754
school_longitude,0.0051133457007294285
cnt_monthly_by_zip,0.005111861801558594
primary_subj_resource_type_is_adj_rate,0.005097484455602266
cnt_biweekly_by_zip,0.005022722539314777
cnt_weekly_by_zip,0.004462286230668827
teacher_acctid_cumcnt,0.003980364932939441
schoolid_gapdays,0.0037116008145169884
cnt_weekly_by_city,0.003667291084495267
teacher_acctid_is_teacher_acct_cumrate,0.0036222994998721426
schoolid_cumcnt,0.0036101682938266184
cnt_biweekly_by_city,0.003600315137094797
resource_total_per_project,0.0029434894228552613
schoolid_is_teacher_acct_cumrate,0.0029182134686498835
schoolid_donation_total_cumcnt,0.002885707080361661
title_length,0.002785338778393976
cost_by_school_city_cummax,0.002716609543856291
poverty,0.002618126765200479
teacher_acctid_donation_total_cumcnt,0.0023185876849680736
books_cnt,0.0022672869290883803
primary_subject,0.0021857243580458365
teacher_ny_fellow,0.0018981604897041228
title_cap_len,0.0018040187903535045
essay_cap_len,0.0017837357071417246
books_item_amount_total,0.0015974060026608555
students_reached,0.0015194072597194638
weekday,0.0014990985750843486
students_cnt,0.0014577024777825685
price_per_student,0.0014522993961529377
ave_proj_cost_school_city,0.0014232683164302775
optional_support,0.0014225981477078244
item_amount_total_per_project,0.0014049412284912158
total_price_excluding_optional_support,0.0013963110431160937
essay_cap_per,0.0013678382595715937
tot_cost_per_day_schoolid,0.0013558760685519339
title_cap_per,0.0013239118342262155
cost_by_school_zip_cummin,0.001312112087630032
ave_opt_sup_school_city,0.001289005346348832
ave_price_excl_school,0.0012151756249184583
tech_item_amount_total,0.0011457294219478092
schoolid_cost_gap,0.001137646034323446
school_city_gapdays,0.001038337143509718
supplies_item_amount_total,0.0009513874271737109
other_item_amount_total,0.0007988917966406149
